"","PermitNum","PermitClass","PermitClassMapped","PermitTypeMapped","PermitTypeDesc","Description","HousingUnits","HousingUnitsRemoved","HousingUnitsAdded","EstProjectCost","AppliedDate","IssuedDate","ExpiresDate","CompletedDate","StatusCurrent","OriginalAddress1","OriginalCity","OriginalState","OriginalZip","ContractorCompanyName","Link","Latitude","Longitude","Location1"
"31076","6681514-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct single family residence, and detached accessory dwelling unit (DADU) with garage, per plan.",0,0,2,603434,"2018-08-22","2019-01-02","2020-07-02","","Issued","147 NE 63RD ST","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6681514-CN",47.67418068,-122.32623299,"147 NE 63RD ST
SEATTLE, WA 98115
(47.67418068, -122.32623299)"
"31102","6680732-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct addition and substantial alterations to existing single family residence, per plan.",1,0,0,88425,"2018-07-30","","","","Ready for Issuance","4114 SW HILL ST","SEATTLE","WA",98116,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6680732-CN",47.58551949,-122.3844889,"4114 SW HILL ST
SEATTLE, WA 98116
(47.58551949, -122.3844889)"
"31127","6542269-PH","Commercial","Non-Residential","Building","New","Phased permit:  Construct mixed use building with apartments, assisted living facility, retail at ground level and below grade parking, occupy per plan.",0,0,0,55817443,"2016-12-30","2017-11-08","2020-11-08","","Completed","620 TERRY AVE","SEATTLE","WA",98104,"P C L CONSTRUCTION SRVC INC","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6542269-PH",47.60665738,-122.32391961,"620 TERRY AVE
SEATTLE, WA 98104
(47.60665738, -122.32391961)"
"31141","6693539-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct a single-family residence maintain portions of existing foundation, per plans",1,0,0,386170,"2019-01-25","2019-05-06","2020-11-06","","Issued","4418 SW GRAHAM ST","SEATTLE","WA",98136,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6693539-CN",47.54692054,-122.38962634,"4418 SW GRAHAM ST
SEATTLE, WA 98136
(47.54692054, -122.38962634)"
"31146","6691371-CN","Multifamily","Residential","Building","Addition/Alteration","Interior non-structural alterations to existing multi-family building units A, B and lower level unit, subject to field inspection (STFI).",5,0,0,25000,"2018-10-01","2018-10-01","2020-04-01","","Issued","745 FEDERAL AVE E","SEATTLE","WA",98102,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6691371-CN",47.626698,-122.31941884,"745 FEDERAL AVE E
SEATTLE, WA 98102
(47.626698, -122.31941884)"
"31152","6655626-CN","Commercial","Non-Residential","Building","Addition/Alteration","Change of use from medical office to food service and construct alterations in suite 212 of Columbia Center for same, per plans.",0,0,0,140000,"2018-07-30","2018-12-06","2020-06-06","2019-03-18","Completed","701 5TH AVE","SEATTLE","WA",98104,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6655626-CN",47.60454088,-122.33073506,"701 5TH AVE
SEATTLE, WA 98104
(47.60454088, -122.33073506)"
"31155","6691887-CN","Institutional","Non-Residential","Building","Addition/Alteration","CONVERT EXISTING LODGE TO DWELLING UNITS",0,0,4,5e+05,"","","","","Scheduled","1608 4TH AVE W","SEATTLE","WA",98119,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6691887-CN",47.63394051,-122.36199055,"1608 4TH AVE W
SEATTLE, WA 98119
(47.63394051, -122.36199055)"
"31157","6713887-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct 2nd-story addition and alterations to existing single family residence, per plan.",1,0,0,60000,"2019-05-10","2019-06-18","2020-12-18","","Issued","4052 SW MYRTLE ST","SEATTLE","WA",98136,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6713887-CN",47.54000129,-122.38500315,"4052 SW MYRTLE ST
SEATTLE, WA 98136
(47.54000129, -122.38500315)"
"31196","6688242-CN","Commercial","Non-Residential","Building","Addition/Alteration","Tenant improvements in a commercial building to remodel the existing office area, per plan. Mechanical is included.",0,0,0,4e+05,"2018-09-27","2018-12-19","2020-06-19","2019-04-26","Completed","6020 6TH AVE S","SEATTLE","WA",98108,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6688242-CN",47.54813107,-122.32554009,"6020 6TH AVE S
SEATTLE, WA 98108
(47.54813107, -122.32554009)"
"31198","6681553-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct new detached accessory dwelling unit and garage for existing single family residence, per plan.",1,0,1,66247,"2018-12-31","","","","Corrections Required","7944 8TH AVE SW","SEATTLE","WA",98106,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6681553-CN",47.5306072,-122.3452591,"7944 8TH AVE SW
SEATTLE, WA 98106
(47.5306072, -122.3452591)"
"31205","6712775-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct alterations to an existing minor communication utility (T-Mobile) on the rooftop of existing structure, per plans.",0,0,0,23000,"2019-03-18","2019-06-18","2020-12-18","","Issued","1400 5TH AVE","SEATTLE","WA",98101,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6712775-CN",47.61003393,-122.33453384,"1400 5TH AVE
SEATTLE, WA 98101
(47.61003393, -122.33453384)"
"31217","6701471-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct two story addition and alterations to existing single family residence, per plan.",1,0,0,138600,"2018-12-20","2019-02-05","2020-08-05","","Issued","7008 9TH AVE NW","SEATTLE","WA",98117,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6701471-CN",47.67992844,-122.36808787,"7008 9TH AVE NW
SEATTLE, WA 98117
(47.67992844, -122.36808787)"
"31222","6616864-CN","Multifamily","Residential","Building","New","Construct west apartment building, per plans (Establish use as townhouse and single-family and construct an apartment building with below grade parking and a single-family residence, occupy per plans. Reviews and process for 2 A/P's under 6616864)",1,0,4,600059,"2018-01-03","2019-05-06","2020-11-06","","Issued","3832 EVANSTON AVE N","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6616864-CN",47.65368988,-122.35101705,"3832 EVANSTON AVE N
SEATTLE, WA 98103
(47.65368988, -122.35101705)"
"31236","6582480-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct additions and substantial alterations to a single family dwelling and construct a detached accessory dwelling unit (DADU) all per plan.",0,0,1,209811,"2018-02-07","2019-03-27","2020-09-27","","Issued","3632 12TH AVE W","SEATTLE","WA",98119,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6582480-CN",47.65315682,-122.37201717,"3632 12TH AVE W
SEATTLE, WA 98119
(47.65315682, -122.37201717)"
"31240","6554873-CN","Multifamily","Residential","Building","Addition/Alteration","Construct substantial alterations to convert two-family dwelling to three-unit apartment, occupy per plan.",0,0,0,213029,"2016-12-09","2019-04-30","2020-10-30","","Issued","6833 WEEDIN PL NE","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6554873-CN",47.67881187,-122.32244504,"6833 WEEDIN PL NE
SEATTLE, WA 98115
(47.67881187, -122.32244504)"
"31244","6666269-CN","Single Family/Duplex","Residential","Building","New","Establish use and construct single family residence with attached garage per plan.",0,0,1,368956,"2018-05-17","2018-10-01","2020-04-01","2019-05-15","Completed","6234 FLORA AVE S","SEATTLE","WA",98108,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6666269-CN",47.54656565,-122.31903625,"6234 FLORA AVE S
SEATTLE, WA 98108
(47.54656565, -122.31903625)"
"31261","6579675-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct and establish a detached accessory dwelling unit accessory to existing single-family residence, per plan",1,0,1,112677,"2018-02-27","2018-11-05","2020-05-05","","Issued","4848 25TH AVE SW","SEATTLE","WA",98106,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6579675-CN",47.5578412,-122.36394259,"4848 25TH AVE SW
SEATTLE, WA 98106
(47.5578412, -122.36394259)"
"31269","6685001-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Remove and rebuild existing detached bunker garage, per plan.",1,0,0,22550,"2018-11-26","2019-03-10","2020-09-10","","Issued","1703 39TH AVE","SEATTLE","WA",98122,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6685001-CN",47.61665342,-122.28361232,"1703 39TH AVE
SEATTLE, WA 98122
(47.61665342, -122.28361232)"
"31283","6680256-CN","Single Family/Duplex","Residential","Building","New","Construct new duplex structure (bldg 5) to the SW center, per plan. (Establish use as and construct 2 new townhouses and 5 new duplexes, per plan. Review & process for 7 records under permit #6646402-CN).",0,0,2,459303,"2018-07-27","2019-07-22","2021-01-22","","Issued","8646 39TH AVE S","SEATTLE","WA",98118,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6680256-CN",47.52525092,-122.28328585,"8646 39TH AVE S
SEATTLE, WA 98118
(47.52525092, -122.28328585)"
"31314","6644139-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct additions and alterations to existing single family residence, per plan.",1,0,0,86000,"2018-07-10","2018-09-03","2020-03-03","","Completed","2818 NW 69TH ST","SEATTLE","WA",98117,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6644139-CN",47.67894315,-122.3938397,"2818 NW 69TH ST
SEATTLE, WA 98117
(47.67894315, -122.3938397)"
"31331","6672529-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct interior alterations to reconfigure interior stair from basement to upper floor of a two story single family residence. Subject to field inspection (STFI).",1,0,0,65000,"2018-06-08","2018-06-21","2019-12-21","","Completed","2613 E YESLER WAY","SEATTLE","WA",98122,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6672529-CN",47.60146207,-122.29826913,"2613 E YESLER WAY
SEATTLE, WA 98122
(47.60146207, -122.29826913)"
"31342","6699678-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct alterations to an existing monopole minor communications antenna facility (Verizon), per plan.",0,0,0,6000,"2018-12-17","2019-04-29","2020-10-29","","Issued","1057 S DIRECTOR ST","SEATTLE","WA",98108,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6699678-CN",47.52153853,-122.31792445,"1057 S DIRECTOR ST
SEATTLE, WA 98108
(47.52153853, -122.31792445)"
"31346","6691597-CN","Single Family/Duplex","Residential","Building","New","Establish Use and Construct single-family residence, per plan.",0,0,1,620797,"2019-01-19","","","","Corrections Required","2405 NE 133RD ST","SEATTLE","WA",98125,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6691597-CN",47.72456012,-122.30299509,"2405 NE 133RD ST
SEATTLE, WA 98125
(47.72456012, -122.30299509)"
"31350","6680949-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Install foundation underpinning under an existing single family residence, per plan.",1,0,0,16197,"2018-08-23","2018-12-01","2020-06-01","","Issued","10446 WATERS AVE S","SEATTLE","WA",98178,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6680949-CN",47.50700435,-122.24865332,"10446 WATERS AVE S
SEATTLE, WA 98178
(47.50700435, -122.24865332)"
"31365","6666886-CN","Institutional","Non-Residential","Building","Addition/Alteration","Construct revision to shoring for existing remaining basement wall from demo 6556818, per plan.",0,0,0,20000,"2018-05-10","2018-06-20","2019-12-20","2018-08-21","Completed","1801 BROADWAY","SEATTLE","WA",98122,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6666886-CN",47.61775877,-122.32136734,"1801 BROADWAY
SEATTLE, WA 98122
(47.61775877, -122.32136734)"
"31377","6692253-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct covered patio addition to single-family dwelling, per plans.",1,0,0,17000,"2018-11-06","2019-01-03","2020-07-03","","Issued","3431 35TH AVE SW","SEATTLE","WA",98126,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6692253-CN",47.57217783,-122.37630724,"3431 35TH AVE SW
SEATTLE, WA 98126
(47.57217783, -122.37630724)"
"31389","6062967-PH","Multifamily","Residential","Building","New","Phased project:  Construction of a residential building with below grade parking and occupy, per plan",0,0,14,3203426,"2014-08-15","","","","Reviews In Process","416 E HARRISON ST","SEATTLE","WA",98102,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6062967-PH",47.62218901,-122.32586296,"416 E HARRISON ST
SEATTLE, WA 98102
(47.62218901, -122.32586296)"
"31394","6586598-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct new single family residence with attached garage, per plan.",0,0,1,466264,"2018-02-02","2019-02-01","2020-08-01","","Issued","10655 SAND POINT WAY NE","SEATTLE","WA",98125,"QUALITY BUILDERS LLC","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6586598-CN",47.70663732,-122.2794736,"10655 SAND POINT WAY NE
SEATTLE, WA 98125
(47.70663732, -122.2794736)"
"31437","6732827-CN","Multifamily","Residential","Building","New","Construct 22 new townhouses with surface parking",0,0,22,3200000,"","","","","Additional Info Requested","2521 29TH AVE S","SEATTLE","WA",98144,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6732827-CN",47.58035363,-122.29541716,"2521 29TH AVE S
SEATTLE, WA 98144
(47.58035363, -122.29541716)"
"31439","6652547-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct portion of below grade transformer vault associated with adjacent building (separate building permit #6501958), per plan.",0,0,0,1e+05,"2018-05-07","2018-05-22","2019-11-22","","Issued","115 S JACKSON ST","SEATTLE","WA",98104,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6652547-CN",47.59896644,-122.33339673,"115 S JACKSON ST
SEATTLE, WA 98104
(47.59896644, -122.33339673)"
"31444","6710844-CN","Single Family/Duplex","Residential","Building","Addition/Alteration","Construct interior alterations to existing single family residence, subject to field inspection (STFI).",1,0,0,97000,"2019-03-26","2019-03-26","2020-09-26","","Issued","3404 42ND AVE W","SEATTLE","WA",98199,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6710844-CN",47.65064442,-122.41113624,"3404 42ND AVE W
SEATTLE, WA 98199
(47.65064442, -122.41113624)"
"31449","6721776-CN","Multifamily","Residential","Building","New","DEMO EXISTING SINGLE FAMILY RESIDENCES & CONSTRUCT 22 NEW ROW HOUSES, ALL PARKED.",0,0,22,3200000,"","","","","Withdrawn","9202 MARY AVE NW","SEATTLE","WA",98117,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6721776-CN",47.6962478,-122.37516733,"9202 MARY AVE NW
SEATTLE, WA 98117
(47.6962478, -122.37516733)"
"31487","6682657-CN","Commercial","Non-Residential","Building","Addition/Alteration","Construct tenant improvements and change use from retail to restaurant, occupy per plan.",0,0,0,2e+05,"2018-10-01","2018-11-02","2020-05-02","2019-03-21","Completed","4339 UNIVERSITY WAY NE","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6682657-CN",47.66093322,-122.31360404,"4339 UNIVERSITY WAY NE
SEATTLE, WA 98105
(47.66093322, -122.31360404)"
"31493","6627540-PH","Institutional","Non-Residential","Building","Addition/Alteration","Phased project: Construct the ""Forest B building"" addition with underground parking, and alterations to existing ""Forest A building"" hospital (Seattle Children's Hospital), occupy per plan.  Mechanical included.",0,0,0,119273305,"","2019-02-22","2020-08-22","","In Process","4800 SAND POINT WAY NE","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6627540-PH",47.66231885,-122.2814725,"4800 SAND POINT WAY NE
SEATTLE, WA 98105
(47.66231885, -122.2814725)"
